SuperWEB2(tm)

"Household"
"Household size - 5 groups, collapsed, Type of accomodation, Household composition - 10 groups, collapsed and Number of cars or vans - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"


"Household size - 5 groups, collapsed","Type of accomodation","Household composition - 10 groups, collapsed","Number of cars or vans - 3 groups, collapsed",
,,"One family household: Lone parent: All children non-dependent","Number of cars or vans in household: No cars or vans",174,
,,,"Number of cars or vans in household: One car or van",591,
,,,"Number of cars or vans in household: Two or more cars or vans",1891,
,,"Other household types: With dependent children","Number of cars or vans in household: No cars or vans",77,
,,,"Number of cars or vans in household: One car or van",388,
,,,"Number of cars or vans in household: Two or more cars or vans",759,
,,"Other household types: Other (including all full-time students and all aged 66 and over)","Number of cars or vans in household: No cars or vans",161,
,,,"Number of cars or vans in household: One car or van",937,
,,,"Number of cars or vans in household: Two or more cars or vans",2967,
,"Whole house or bungalow: Semi-detached","One person household: Aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One person household: Aged under 66","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: All aged 66 and over","Number of cars or vans in household: No cars or vans",8,
,,,"Number of cars or vans in household: One car or van",6,
,,,"Number of cars or vans in household: Two or more cars or vans",4,
,,"One family household: Couple family: No children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: With dependent children","Number of cars or vans in household: No cars or vans",1491,
,,,"Number of cars or vans in household: One car or van",13693,
,,,"Number of cars or vans in household: Two or more cars or vans",22721,
,,"One family household: Couple family: All children non-dependent","Number of cars or vans in household: No cars or vans",1681,
,,,"Number of cars or vans in household: One car or van",8523,
,,,"Number of cars or vans in household: Two or more cars or vans",23860,
,,"One family household: Lone parent: With dependent children","Number of cars or vans in household: No cars or vans",3508,
,,,"Number of cars or vans in household: One car or van",9141,
,,,"Number of cars or vans in household: Two or more cars or vans",2151,
,,"One family household: Lone parent: All children non-dependent","Number of cars or vans in household: No cars or vans",891,
,,,"Number of cars or vans in household: One car or van",1583,
,,,"Number of cars or vans in household: Two or more cars or vans",2336,
,,"Other household types: With dependent children","Number of cars or vans in household: No cars or vans",349,
,,,"Number of cars or vans in household: One car or van",855,
,,,"Number of cars or vans in household: Two or more cars or vans",792,
,,"Other household types: Other (including all full-time students and all aged 66 and over)","Number of cars or vans in household: No cars or vans",522,
,,,"Number of cars or vans in household: One car or van",1347,
,,,"Number of cars or vans in household: Two or more cars or vans",1892,
,"Whole house or bungalow: Terraced (including end-terrace)","One person household: Aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One person household: Aged under 66","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: All aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",5,
,,,"Number of cars or vans in household: Two or more cars or vans",2,
,,"One family household: Couple family: No children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: With dependent children","Number of cars or vans in household: No cars or vans",1743,
,,,"Number of cars or vans in household: One car or van",11984,
,,,"Number of cars or vans in household: Two or more cars or vans",14015,
,,"One family household: Couple family: All children non-dependent","Number of cars or vans in household: No cars or vans",1852,
,,,"Number of cars or vans in household: One car or van",7594,
,,,"Number of cars or vans in household: Two or more cars or vans",14587,
,,"One family household: Lone parent: With dependent children","Number of cars or vans in household: No cars or vans",3442,
,,,"Number of cars or vans in household: One car or van",8366,
,,,"Number of cars or vans in household: Two or more cars or vans",1756,
,,"One family household: Lone parent: All children non-dependent","Number of cars or vans in household: No cars or vans",841,
,,,"Number of cars or vans in household: One car or van",1387,
,,,"Number of cars or vans in household: Two or more cars or vans",1803,
,,"Other household types: With dependent children","Number of cars or vans in household: No cars or vans",364,
,,,"Number of cars or vans in household: One car or van",784,
,,,"Number of cars or vans in household: Two or more cars or vans",583,
,,"Other household types: Other (including all full-time students and all aged 66 and over)","Number of cars or vans in household: No cars or vans",563,
,,,"Number of cars or vans in household: One car or van",1198,
,,,"Number of cars or vans in household: Two or more cars or vans",1423,
,"Flat, maisonette or apartment: Purpose-built block of flats or tenement","One person household: Aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One person household: Aged under 66","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: All aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",2,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: No children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: With dependent children","Number of cars or vans in household: No cars or vans",7081,
,,,"Number of cars or vans in household: One car or van",14627,
,,,"Number of cars or vans in household: Two or more cars or vans",6857,
,,"One family household: Couple family: All children non-dependent","Number of cars or vans in household: No cars or vans",2619,
,,,"Number of cars or vans in household: One car or van",5346,
,,,"Number of cars or vans in household: Two or more cars or vans",5290,
,,"One family household: Lone parent: With dependent children","Number of cars or vans in household: No cars or vans",8301,
,,,"Number of cars or vans in household: One car or van",7719,
,,,"Number of cars or vans in household: Two or more cars or vans",997,
,,"One family household: Lone parent: All children non-dependent","Number of cars or vans in household: No cars or vans",1327,
,,,"Number of cars or vans in household: One car or van",1359,
,,,"Number of cars or vans in household: Two or more cars or vans",893,
,,"Other household types: With dependent children","Number of cars or vans in household: No cars or vans",864,
,,,"Number of cars or vans in household: One car or van",933,
,,,"Number of cars or vans in household: Two or more cars or vans",386,
,,"Other household types: Other (including all full-time students and all aged 66 and over)","Number of cars or vans in household: No cars or vans",4716,
,,,"Number of cars or vans in household: One car or van",3460,
,,,"Number of cars or vans in household: Two or more cars or vans",2091,
,"Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","One person household: Aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One person household: Aged under 66","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: All aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: No children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: With dependent children","Number of cars or vans in household: No cars or vans",161,
,,,"Number of cars or vans in household: One car or van",883,
,,,"Number of cars or vans in household: Two or more cars or vans",794,
,,"One family household: Couple family: All children non-dependent","Number of cars or vans in household: No cars or vans",56,
,,,"Number of cars or vans in household: One car or van",330,
,,,"Number of cars or vans in household: Two or more cars or vans",595,
,,"One family household: Lone parent: With dependent children","Number of cars or vans in household: No cars or vans",97,
,,,"Number of cars or vans in household: One car or van",277,
,,,"Number of cars or vans in household: Two or more cars or vans",47,
,,"One family household: Lone parent: All children non-dependent","Number of cars or vans in household: No cars or vans",14,
,,,"Number of cars or vans in household: One car or van",38,
,,,"Number of cars or vans in household: Two or more cars or vans",65,
,,"Other household types: With dependent children","Number of cars or vans in household: No cars or vans",24,
,,,"Number of cars or vans in household: One car or van",39,
,,,"Number of cars or vans in household: Two or more cars or vans",27,
,,"Other household types: Other (including all full-time students and all aged 66 and over)","Number of cars or vans in household: No cars or vans",243,
,,,"Number of cars or vans in household: One car or van",176,
,,,"Number of cars or vans in household: Two or more cars or vans",151,
,"Flat, maisonette or apartment: In a commercial building","One person household: Aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One person household: Aged under 66","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: All aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: No children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: With dependent children","Number of cars or vans in household: No cars or vans",64,
,,,"Number of cars or vans in household: One car or van",159,
,,,"Number of cars or vans in household: Two or more cars or vans",115,
,,"One family household: Couple family: All children non-dependent","Number of cars or vans in household: No cars or vans",22,
,,,"Number of cars or vans in household: One car or van",56,
,,,"Number of cars or vans in household: Two or more cars or vans",144,
,,"One family household: Lone parent: With dependent children","Number of cars or vans in household: No cars or vans",75,
,,,"Number of cars or vans in household: One car or van",67,
,,,"Number of cars or vans in household: Two or more cars or vans",14,
,,"One family household: Lone parent: All children non-dependent","Number of cars or vans in household: No cars or vans",21,
,,,"Number of cars or vans in household: One car or van",15,
,,,"Number of cars or vans in household: Two or more cars or vans",15,
,,"Other household types: With dependent children","Number of cars or vans in household: No cars or vans",9,
,,,"Number of cars or vans in household: One car or van",12,
,,,"Number of cars or vans in household: Two or more cars or vans",6,
,,"Other household types: Other (including all full-time students and all aged 66 and over)","Number of cars or vans in household: No cars or vans",91,
,,,"Number of cars or vans in household: One car or van",49,
,,,"Number of cars or vans in household: Two or more cars or vans",46,
,"Caravan or other mobile or temporary structure","One person household: Aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One person household: Aged under 66","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: All aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: No children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: With dependent children","Number of cars or vans in household: No cars or vans",16,
,,,"Number of cars or vans in household: One car or van",23,
,,,"Number of cars or vans in household: Two or more cars or vans",66,
,,"One family household: Couple family: All children non-dependent","Number of cars or vans in household: No cars or vans",4,
,,,"Number of cars or vans in household: One car or van",29,
,,,"Number of cars or vans in household: Two or more cars or vans",86,
,,"One family household: Lone parent: With dependent children","Number of cars or vans in household: No cars or vans",8,
,,,"Number of cars or vans in household: One car or van",22,
,,,"Number of cars or vans in household: Two or more cars or vans",3,
,,"One family household: Lone parent: All children non-dependent","Number of cars or vans in household: No cars or vans",1,
,,,"Number of cars or vans in household: One car or van",10,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"Other household types: With dependent children","Number of cars or vans in household: No cars or vans",5,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"Other household types: Other (including all full-time students and all aged 66 and over)","Number of cars or vans in household: No cars or vans",6,
,,,"Number of cars or vans in household: One car or van",5,
,,,"Number of cars or vans in household: Two or more cars or vans",10,
"Four people","Whole house or bungalow: Detached","One person household: Aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One person household: Aged under 66","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: All aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: No children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: With dependent children","Number of cars or vans in household: No cars or vans",648,
,,,"Number of cars or vans in household: One car or van",14201,
,,,"Number of cars or vans in household: Two or more cars or vans",62554,
,,"One family household: Couple family: All children non-dependent","Number of cars or vans in household: No cars or vans",179,
,,,"Number of cars or vans in household: One car or van",870,
,,,"Number of cars or vans in household: Two or more cars or vans",12198,
,,"One family household: Lone parent: With dependent children","Number of cars or vans in household: No cars or vans",321,
,,,"Number of cars or vans in household: One car or van",1237,
,,,"Number of cars or vans in household: Two or more cars or vans",809,
,,"One family household: Lone parent: All children non-dependent","Number of cars or vans in household: No cars or vans",16,
,,,"Number of cars or vans in household: One car or van",66,
,,,"Number of cars or vans in household: Two or more cars or vans",261,
,,"Other household types: With dependent children","Number of cars or vans in household: No cars or vans",76,
,,,"Number of cars or vans in household: One car or van",484,
,,,"Number of cars or vans in household: Two or more cars or vans",2027,
,,"Other household types: Other (including all full-time students and all aged 66 and over)","Number of cars or vans in household: No cars or vans",77,
,,,"Number of cars or vans in household: One car or van",302,
,,,"Number of cars or vans in household: Two or more cars or vans",2521,
,"Whole house or bungalow: Semi-detached","One person household: Aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One person household: Aged under 66","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: All aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: No children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: With dependent children","Number of cars or vans in household: No cars or vans",1721,
,,,"Number of cars or vans in household: One car or van",17398,
,,,"Number of cars or vans in household: Two or more cars or vans",34508,
,,"One family household: Couple family: All children non-dependent","Number of cars or vans in household: No cars or vans",418,
,,,"Number of cars or vans in household: One car or van",1741,
,,,"Number of cars or vans in household: Two or more cars or vans",8388,
,,"One family household: Lone parent: With dependent children","Number of cars or vans in household: No cars or vans",1432,
,,,"Number of cars or vans in household: One car or van",2856,
,,,"Number of cars or vans in household: Two or more cars or vans",981,
,,"One family household: Lone parent: All children non-dependent","Number of cars or vans in household: No cars or vans",118,
,,,"Number of cars or vans in household: One car or van",170,
,,,"Number of cars or vans in household: Two or more cars or vans",254,
,,"Other household types: With dependent children","Number of cars or vans in household: No cars or vans",330,
,,,"Number of cars or vans in household: One car or van",981,
,,,"Number of cars or vans in household: Two or more cars or vans",1651,
,,"Other household types: Other (including all full-time students and all aged 66 and over)","Number of cars or vans in household: No cars or vans",227,
,,,"Number of cars or vans in household: One car or van",487,
,,,"Number of cars or vans in household: Two or more cars or vans",1495,
,"Whole house or bungalow: Terraced (including end-terrace)","One person household: Aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One person household: Aged under 66","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: All aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: No children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: With dependent children","Number of cars or vans in household: No cars or vans",1834,
,,,"Number of cars or vans in household: One car or van",14378,
,,,"Number of cars or vans in household: Two or more cars or vans",19840,
,,"One family household: Couple family: All children non-dependent","Number of cars or vans in household: No cars or vans",405,
,,,"Number of cars or vans in household: One car or van",1535,
,,,"Number of cars or vans in household: Two or more cars or vans",5175,
,,"One family household: Lone parent: With dependent children","Number of cars or vans in household: No cars or vans",1339,
,,,"Number of cars or vans in household: One car or van",2531,
,,,"Number of cars or vans in household: Two or more cars or vans",800,
,,"One family household: Lone parent: All children non-dependent","Number of cars or vans in household: No cars or vans",89,
,,,"Number of cars or vans in household: One car or van",132,
,,,"Number of cars or vans in household: Two or more cars or vans",230,
,,"Other household types: With dependent children","Number of cars or vans in household: No cars or vans",285,
,,,"Number of cars or vans in household: One car or van",847,
,,,"Number of cars or vans in household: Two or more cars or vans",1127,
,,"Other household types: Other (including all full-time students and all aged 66 and over)","Number of cars or vans in household: No cars or vans",196,
,,,"Number of cars or vans in household: One car or van",431,
,,,"Number of cars or vans in household: Two or more cars or vans",935,
,"Flat, maisonette or apartment: Purpose-built block of flats or tenement","One person household: Aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One person household: Aged under 66","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: All aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: No children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: With dependent children","Number of cars or vans in household: No cars or vans",5427,
,,,"Number of cars or vans in household: One car or van",12455,
,,,"Number of cars or vans in household: Two or more cars or vans",6522,
,,"One family household: Couple family: All children non-dependent","Number of cars or vans in household: No cars or vans",481,
,,,"Number of cars or vans in household: One car or van",1056,
,,,"Number of cars or vans in household: Two or more cars or vans",1527,
,,"One family household: Lone parent: With dependent children","Number of cars or vans in household: No cars or vans",2632,
,,,"Number of cars or vans in household: One car or van",2081,
,,,"Number of cars or vans in household: Two or more cars or vans",399,
,,"One family household: Lone parent: All children non-dependent","Number of cars or vans in household: No cars or vans",123,
,,,"Number of cars or vans in household: One car or van",111,
,,,"Number of cars or vans in household: Two or more cars or vans",104,
,,"Other household types: With dependent children","Number of cars or vans in household: No cars or vans",635,
,,,"Number of cars or vans in household: One car or van",807,
,,,"Number of cars or vans in household: Two or more cars or vans",550,
,,"Other household types: Other (including all full-time students and all aged 66 and over)","Number of cars or vans in household: No cars or vans",1687,
,,,"Number of cars or vans in household: One car or van",1131,
,,,"Number of cars or vans in household: Two or more cars or vans",860,
,"Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","One person household: Aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One person household: Aged under 66","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: All aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: No children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: With dependent children","Number of cars or vans in household: No cars or vans",118,
,,,"Number of cars or vans in household: One car or van",892,
,,,"Number of cars or vans in household: Two or more cars or vans",871,
,,"One family household: Couple family: All children non-dependent","Number of cars or vans in household: No cars or vans",3,
,,,"Number of cars or vans in household: One car or van",54,
,,,"Number of cars or vans in household: Two or more cars or vans",145,
,,"One family household: Lone parent: With dependent children","Number of cars or vans in household: No cars or vans",34,
,,,"Number of cars or vans in household: One car or van",54,
,,,"Number of cars or vans in household: Two or more cars or vans",20,
,,"One family household: Lone parent: All children non-dependent","Number of cars or vans in household: No cars or vans",4,
,,,"Number of cars or vans in household: One car or van",6,
,,,"Number of cars or vans in household: Two or more cars or vans",5,
,,"Other household types: With dependent children","Number of cars or vans in household: No cars or vans",21,
,,,"Number of cars or vans in household: One car or van",43,
,,,"Number of cars or vans in household: Two or more cars or vans",56,
,,"Other household types: Other (including all full-time students and all aged 66 and over)","Number of cars or vans in household: No cars or vans",112,
,,,"Number of cars or vans in household: One car or van",78,
,,,"Number of cars or vans in household: Two or more cars or vans",101,
,"Flat, maisonette or apartment: In a commercial building","One person household: Aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One person household: Aged under 66","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: All aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: No children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: With dependent children","Number of cars or vans in household: No cars or vans",42,
,,,"Number of cars or vans in household: One car or van",192,
,,,"Number of cars or vans in household: Two or more cars or vans",130,
,,"One family household: Couple family: All children non-dependent","Number of cars or vans in household: No cars or vans",2,
,,,"Number of cars or vans in household: One car or van",15,
,,,"Number of cars or vans in household: Two or more cars or vans",41,
,,"One family household: Lone parent: With dependent children","Number of cars or vans in household: No cars or vans",21,
,,,"Number of cars or vans in household: One car or van",37,
,,,"Number of cars or vans in household: Two or more cars or vans",9,
,,"One family household: Lone parent: All children non-dependent","Number of cars or vans in household: No cars or vans",1,
,,,"Number of cars or vans in household: One car or van",3,
,,,"Number of cars or vans in household: Two or more cars or vans",4,
,,"Other household types: With dependent children","Number of cars or vans in household: No cars or vans",5,
,,,"Number of cars or vans in household: One car or van",8,
,,,"Number of cars or vans in household: Two or more cars or vans",13,
,,"Other household types: Other (including all full-time students and all aged 66 and over)","Number of cars or vans in household: No cars or vans",42,
,,,"Number of cars or vans in household: One car or van",34,
,,,"Number of cars or vans in household: Two or more cars or vans",33,
,"Caravan or other mobile or temporary structure","One person household: Aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One person household: Aged under 66","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: All aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: No children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: With dependent children","Number of cars or vans in household: No cars or vans",9,
,,,"Number of cars or vans in household: One car or van",43,
,,,"Number of cars or vans in household: Two or more cars or vans",110,
,,"One family household: Couple family: All children non-dependent","Number of cars or vans in household: No cars or vans",1,
,,,"Number of cars or vans in household: One car or van",6,
,,,"Number of cars or vans in household: Two or more cars or vans",20,
,,"One family household: Lone parent: With dependent children","Number of cars or vans in household: No cars or vans",1,
,,,"Number of cars or vans in household: One car or van",6,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Lone parent: All children non-dependent","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",1,
,,"Other household types: With dependent children","Number of cars or vans in household: No cars or vans",6,
,,,"Number of cars or vans in household: One car or van",3,
,,,"Number of cars or vans in household: Two or more cars or vans",4,
,,"Other household types: Other (including all full-time students and all aged 66 and over)","Number of cars or vans in household: No cars or vans",2,
,,,"Number of cars or vans in household: One car or van",4,
,,,"Number of cars or vans in household: Two or more cars or vans",5,
"Five or more people","Whole house or bungalow: Detached","One person household: Aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One person household: Aged under 66","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: All aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: No children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: With dependent children","Number of cars or vans in household: No cars or vans",387,
,,,"Number of cars or vans in household: One car or van",4967,
,,,"Number of cars or vans in household: Two or more cars or vans",22721,
,,"One family household: Couple family: All children non-dependent","Number of cars or vans in household: No cars or vans",34,
,,,"Number of cars or vans in household: One car or van",113,
,,,"Number of cars or vans in household: Two or more cars or vans",1562,
,,"One family household: Lone parent: With dependent children","Number of cars or vans in household: No cars or vans",135,
,,,"Number of cars or vans in household: One car or van",371,
,,,"Number of cars or vans in household: Two or more cars or vans",369,
,,"One family household: Lone parent: All children non-dependent","Number of cars or vans in household: No cars or vans",6,
,,,"Number of cars or vans in household: One car or van",5,
,,,"Number of cars or vans in household: Two or more cars or vans",37,
,,"Other household types: With dependent children","Number of cars or vans in household: No cars or vans",152,
,,,"Number of cars or vans in household: One car or van",709,
,,,"Number of cars or vans in household: Two or more cars or vans",5591,
,,"Other household types: Other (including all full-time students and all aged 66 and over)","Number of cars or vans in household: No cars or vans",51,
,,,"Number of cars or vans in household: One car or van",122,
,,,"Number of cars or vans in household: Two or more cars or vans",1305,
,"Whole house or bungalow: Semi-detached","One person household: Aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One person household: Aged under 66","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: All aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: No children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: With dependent children","Number of cars or vans in household: No cars or vans",1367,
,,,"Number of cars or vans in household: One car or van",6942,
,,,"Number of cars or vans in household: Two or more cars or vans",12334,
,,"One family household: Couple family: All children non-dependent","Number of cars or vans in household: No cars or vans",72,
,,,"Number of cars or vans in household: One car or van",224,
,,,"Number of cars or vans in household: Two or more cars or vans",1026,
