England and Wales Code,England and Wales,Household size (5 categories) Code,Household size (5 categories),Car or van availability (5 categories) Code,Car or van availability (5 categories),Tenure of household (5 categories) Code,Tenure of household (5 categories),Household composition (15 categories) Code,Household composition (15 categories),Observation
K04000001,England and Wales,0,0 people in household,3,3 or more cars or vans in household,2,Rented: Social rented,6,Single family household: Married or civil partnership couple: All children non-dependent,0
K04000001,England and Wales,0,0 people in household,3,3 or more cars or vans in household,2,Rented: Social rented,7,Single family household: Cohabiting couple family: No children,0
K04000001,England and Wales,0,0 people in household,3,3 or more cars or vans in household,2,Rented: Social rented,8,Single family household: Cohabiting couple family: With dependent children,0
K04000001,England and Wales,0,0 people in household,3,3 or more cars or vans in household,2,Rented: Social rented,9,Single family household: Cohabiting couple family: All children non-dependent,0
K04000001,England and Wales,0,0 people in household,3,3 or more cars or vans in household,2,Rented: Social rented,10,Single family household: Lone parent family: With dependent children,0
K04000001,England and Wales,0,0 people in household,3,3 or more cars or vans in household,2,Rented: Social rented,11,Single family household: Lone parent family: All children non-dependent,0
K04000001,England and Wales,0,0 people in household,3,3 or more cars or vans in household,2,Rented: Social rented,12,Other household types: Other related household: Other family composition,0
K04000001,England and Wales,0,0 people in household,3,3 or more cars or vans in household,2,Rented: Social rented,13,Other household types: With dependent children,0
K04000001,England and Wales,0,0 people in household,3,3 or more cars or vans in household,2,Rented: Social rented,14,"Other household types: Other, including all full-time students and all aged 66 years and over",0
K04000001,England and Wales,0,0 people in household,3,3 or more cars or vans in household,3,Private rented or lives rent free,-8,Does not apply,0
K04000001,England and Wales,0,0 people in household,3,3 or more cars or vans in household,3,Private rented or lives rent free,1,One-person household: Aged 66 years and over,0
K04000001,England and Wales,0,0 people in household,3,3 or more cars or vans in household,3,Private rented or lives rent free,2,One-person household: Other,0
K04000001,England and Wales,0,0 people in household,3,3 or more cars or vans in household,3,Private rented or lives rent free,3,Single family household: All aged 66 years and over,0
K04000001,England and Wales,0,0 people in household,3,3 or more cars or vans in household,3,Private rented or lives rent free,4,Single family household: Married or civil partnership couple: No children,0
K04000001,England and Wales,0,0 people in household,3,3 or more cars or vans in household,3,Private rented or lives rent free,5,Single family household: Married or civil partnership couple: Dependent children,0
K04000001,England and Wales,0,0 people in household,3,3 or more cars or vans in household,3,Private rented or lives rent free,6,Single family household: Married or civil partnership couple: All children non-dependent,0
K04000001,England and Wales,0,0 people in household,3,3 or more cars or vans in household,3,Private rented or lives rent free,7,Single family household: Cohabiting couple family: No children,0
K04000001,England and Wales,0,0 people in household,3,3 or more cars or vans in household,3,Private rented or lives rent free,8,Single family household: Cohabiting couple family: With dependent children,0
K04000001,England and Wales,0,0 people in household,3,3 or more cars or vans in household,3,Private rented or lives rent free,9,Single family household: Cohabiting couple family: All children non-dependent,0
K04000001,England and Wales,0,0 people in household,3,3 or more cars or vans in household,3,Private rented or lives rent free,10,Single family household: Lone parent family: With dependent children,0
K04000001,England and Wales,0,0 people in household,3,3 or more cars or vans in household,3,Private rented or lives rent free,11,Single family household: Lone parent family: All children non-dependent,0
K04000001,England and Wales,0,0 people in household,3,3 or more cars or vans in household,3,Private rented or lives rent free,12,Other household types: Other related household: Other family composition,0
K04000001,England and Wales,0,0 people in household,3,3 or more cars or vans in household,3,Private rented or lives rent free,13,Other household types: With dependent children,0
K04000001,England and Wales,0,0 people in household,3,3 or more cars or vans in household,3,Private rented or lives rent free,14,"Other household types: Other, including all full-time students and all aged 66 years and over",0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,-8,Does not apply,-8,Does not apply,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,-8,Does not apply,1,One-person household: Aged 66 years and over,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,-8,Does not apply,2,One-person household: Other,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,-8,Does not apply,3,Single family household: All aged 66 years and over,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,-8,Does not apply,4,Single family household: Married or civil partnership couple: No children,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,-8,Does not apply,5,Single family household: Married or civil partnership couple: Dependent children,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,-8,Does not apply,6,Single family household: Married or civil partnership couple: All children non-dependent,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,-8,Does not apply,7,Single family household: Cohabiting couple family: No children,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,-8,Does not apply,8,Single family household: Cohabiting couple family: With dependent children,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,-8,Does not apply,9,Single family household: Cohabiting couple family: All children non-dependent,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,-8,Does not apply,10,Single family household: Lone parent family: With dependent children,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,-8,Does not apply,11,Single family household: Lone parent family: All children non-dependent,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,-8,Does not apply,12,Other household types: Other related household: Other family composition,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,-8,Does not apply,13,Other household types: With dependent children,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,-8,Does not apply,14,"Other household types: Other, including all full-time students and all aged 66 years and over",0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,0,Owned: Owns outright,-8,Does not apply,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,0,Owned: Owns outright,1,One-person household: Aged 66 years and over,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,0,Owned: Owns outright,2,One-person household: Other,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,0,Owned: Owns outright,3,Single family household: All aged 66 years and over,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,0,Owned: Owns outright,4,Single family household: Married or civil partnership couple: No children,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,0,Owned: Owns outright,5,Single family household: Married or civil partnership couple: Dependent children,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,0,Owned: Owns outright,6,Single family household: Married or civil partnership couple: All children non-dependent,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,0,Owned: Owns outright,7,Single family household: Cohabiting couple family: No children,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,0,Owned: Owns outright,8,Single family household: Cohabiting couple family: With dependent children,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,0,Owned: Owns outright,9,Single family household: Cohabiting couple family: All children non-dependent,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,0,Owned: Owns outright,10,Single family household: Lone parent family: With dependent children,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,0,Owned: Owns outright,11,Single family household: Lone parent family: All children non-dependent,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,0,Owned: Owns outright,12,Other household types: Other related household: Other family composition,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,0,Owned: Owns outright,13,Other household types: With dependent children,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,0,Owned: Owns outright,14,"Other household types: Other, including all full-time students and all aged 66 years and over",0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,1,Owned: Owns with a mortgage or loan or shared ownership,-8,Does not apply,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,1,Owned: Owns with a mortgage or loan or shared ownership,1,One-person household: Aged 66 years and over,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,1,Owned: Owns with a mortgage or loan or shared ownership,2,One-person household: Other,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,1,Owned: Owns with a mortgage or loan or shared ownership,3,Single family household: All aged 66 years and over,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,1,Owned: Owns with a mortgage or loan or shared ownership,4,Single family household: Married or civil partnership couple: No children,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,1,Owned: Owns with a mortgage or loan or shared ownership,5,Single family household: Married or civil partnership couple: Dependent children,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,1,Owned: Owns with a mortgage or loan or shared ownership,6,Single family household: Married or civil partnership couple: All children non-dependent,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,1,Owned: Owns with a mortgage or loan or shared ownership,7,Single family household: Cohabiting couple family: No children,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,1,Owned: Owns with a mortgage or loan or shared ownership,8,Single family household: Cohabiting couple family: With dependent children,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,1,Owned: Owns with a mortgage or loan or shared ownership,9,Single family household: Cohabiting couple family: All children non-dependent,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,1,Owned: Owns with a mortgage or loan or shared ownership,10,Single family household: Lone parent family: With dependent children,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,1,Owned: Owns with a mortgage or loan or shared ownership,11,Single family household: Lone parent family: All children non-dependent,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,1,Owned: Owns with a mortgage or loan or shared ownership,12,Other household types: Other related household: Other family composition,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,1,Owned: Owns with a mortgage or loan or shared ownership,13,Other household types: With dependent children,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,1,Owned: Owns with a mortgage or loan or shared ownership,14,"Other household types: Other, including all full-time students and all aged 66 years and over",0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,2,Rented: Social rented,-8,Does not apply,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,2,Rented: Social rented,1,One-person household: Aged 66 years and over,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,2,Rented: Social rented,2,One-person household: Other,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,2,Rented: Social rented,3,Single family household: All aged 66 years and over,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,2,Rented: Social rented,4,Single family household: Married or civil partnership couple: No children,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,2,Rented: Social rented,5,Single family household: Married or civil partnership couple: Dependent children,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,2,Rented: Social rented,6,Single family household: Married or civil partnership couple: All children non-dependent,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,2,Rented: Social rented,7,Single family household: Cohabiting couple family: No children,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,2,Rented: Social rented,8,Single family household: Cohabiting couple family: With dependent children,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,2,Rented: Social rented,9,Single family household: Cohabiting couple family: All children non-dependent,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,2,Rented: Social rented,10,Single family household: Lone parent family: With dependent children,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,2,Rented: Social rented,11,Single family household: Lone parent family: All children non-dependent,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,2,Rented: Social rented,12,Other household types: Other related household: Other family composition,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,2,Rented: Social rented,13,Other household types: With dependent children,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,2,Rented: Social rented,14,"Other household types: Other, including all full-time students and all aged 66 years and over",0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,3,Private rented or lives rent free,-8,Does not apply,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,3,Private rented or lives rent free,1,One-person household: Aged 66 years and over,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,3,Private rented or lives rent free,2,One-person household: Other,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,3,Private rented or lives rent free,3,Single family household: All aged 66 years and over,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,3,Private rented or lives rent free,4,Single family household: Married or civil partnership couple: No children,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,3,Private rented or lives rent free,5,Single family household: Married or civil partnership couple: Dependent children,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,3,Private rented or lives rent free,6,Single family household: Married or civil partnership couple: All children non-dependent,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,3,Private rented or lives rent free,7,Single family household: Cohabiting couple family: No children,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,3,Private rented or lives rent free,8,Single family household: Cohabiting couple family: With dependent children,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,3,Private rented or lives rent free,9,Single family household: Cohabiting couple family: All children non-dependent,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,3,Private rented or lives rent free,10,Single family household: Lone parent family: With dependent children,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,3,Private rented or lives rent free,11,Single family household: Lone parent family: All children non-dependent,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,3,Private rented or lives rent free,12,Other household types: Other related household: Other family composition,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,3,Private rented or lives rent free,13,Other household types: With dependent children,0
K04000001,England and Wales,1,1 person in household,-8,Does not apply,3,Private rented or lives rent free,14,"Other household types: Other, including all full-time students and all aged 66 years and over",0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,-8,Does not apply,-8,Does not apply,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,-8,Does not apply,1,One-person household: Aged 66 years and over,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,-8,Does not apply,2,One-person household: Other,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,-8,Does not apply,3,Single family household: All aged 66 years and over,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,-8,Does not apply,4,Single family household: Married or civil partnership couple: No children,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,-8,Does not apply,5,Single family household: Married or civil partnership couple: Dependent children,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,-8,Does not apply,6,Single family household: Married or civil partnership couple: All children non-dependent,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,-8,Does not apply,7,Single family household: Cohabiting couple family: No children,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,-8,Does not apply,8,Single family household: Cohabiting couple family: With dependent children,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,-8,Does not apply,9,Single family household: Cohabiting couple family: All children non-dependent,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,-8,Does not apply,10,Single family household: Lone parent family: With dependent children,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,-8,Does not apply,11,Single family household: Lone parent family: All children non-dependent,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,-8,Does not apply,12,Other household types: Other related household: Other family composition,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,-8,Does not apply,13,Other household types: With dependent children,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,-8,Does not apply,14,"Other household types: Other, including all full-time students and all aged 66 years and over",0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,0,Owned: Owns outright,-8,Does not apply,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,0,Owned: Owns outright,1,One-person household: Aged 66 years and over,848576
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,0,Owned: Owns outright,2,One-person household: Other,186412
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,0,Owned: Owns outright,3,Single family household: All aged 66 years and over,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,0,Owned: Owns outright,4,Single family household: Married or civil partnership couple: No children,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,0,Owned: Owns outright,5,Single family household: Married or civil partnership couple: Dependent children,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,0,Owned: Owns outright,6,Single family household: Married or civil partnership couple: All children non-dependent,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,0,Owned: Owns outright,7,Single family household: Cohabiting couple family: No children,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,0,Owned: Owns outright,8,Single family household: Cohabiting couple family: With dependent children,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,0,Owned: Owns outright,9,Single family household: Cohabiting couple family: All children non-dependent,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,0,Owned: Owns outright,10,Single family household: Lone parent family: With dependent children,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,0,Owned: Owns outright,11,Single family household: Lone parent family: All children non-dependent,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,0,Owned: Owns outright,12,Other household types: Other related household: Other family composition,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,0,Owned: Owns outright,13,Other household types: With dependent children,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,0,Owned: Owns outright,14,"Other household types: Other, including all full-time students and all aged 66 years and over",0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,1,Owned: Owns with a mortgage or loan or shared ownership,-8,Does not apply,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,1,Owned: Owns with a mortgage or loan or shared ownership,1,One-person household: Aged 66 years and over,52519
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,1,Owned: Owns with a mortgage or loan or shared ownership,2,One-person household: Other,196361
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,1,Owned: Owns with a mortgage or loan or shared ownership,3,Single family household: All aged 66 years and over,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,1,Owned: Owns with a mortgage or loan or shared ownership,4,Single family household: Married or civil partnership couple: No children,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,1,Owned: Owns with a mortgage or loan or shared ownership,5,Single family household: Married or civil partnership couple: Dependent children,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,1,Owned: Owns with a mortgage or loan or shared ownership,6,Single family household: Married or civil partnership couple: All children non-dependent,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,1,Owned: Owns with a mortgage or loan or shared ownership,7,Single family household: Cohabiting couple family: No children,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,1,Owned: Owns with a mortgage or loan or shared ownership,8,Single family household: Cohabiting couple family: With dependent children,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,1,Owned: Owns with a mortgage or loan or shared ownership,9,Single family household: Cohabiting couple family: All children non-dependent,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,1,Owned: Owns with a mortgage or loan or shared ownership,10,Single family household: Lone parent family: With dependent children,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,1,Owned: Owns with a mortgage or loan or shared ownership,11,Single family household: Lone parent family: All children non-dependent,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,1,Owned: Owns with a mortgage or loan or shared ownership,12,Other household types: Other related household: Other family composition,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,1,Owned: Owns with a mortgage or loan or shared ownership,13,Other household types: With dependent children,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,1,Owned: Owns with a mortgage or loan or shared ownership,14,"Other household types: Other, including all full-time students and all aged 66 years and over",0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,2,Rented: Social rented,-8,Does not apply,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,2,Rented: Social rented,1,One-person household: Aged 66 years and over,521000
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,2,Rented: Social rented,2,One-person household: Other,676424
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,2,Rented: Social rented,3,Single family household: All aged 66 years and over,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,2,Rented: Social rented,4,Single family household: Married or civil partnership couple: No children,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,2,Rented: Social rented,5,Single family household: Married or civil partnership couple: Dependent children,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,2,Rented: Social rented,6,Single family household: Married or civil partnership couple: All children non-dependent,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,2,Rented: Social rented,7,Single family household: Cohabiting couple family: No children,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,2,Rented: Social rented,8,Single family household: Cohabiting couple family: With dependent children,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,2,Rented: Social rented,9,Single family household: Cohabiting couple family: All children non-dependent,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,2,Rented: Social rented,10,Single family household: Lone parent family: With dependent children,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,2,Rented: Social rented,11,Single family household: Lone parent family: All children non-dependent,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,2,Rented: Social rented,12,Other household types: Other related household: Other family composition,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,2,Rented: Social rented,13,Other household types: With dependent children,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,2,Rented: Social rented,14,"Other household types: Other, including all full-time students and all aged 66 years and over",0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,3,Private rented or lives rent free,-8,Does not apply,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,3,Private rented or lives rent free,1,One-person household: Aged 66 years and over,149663
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,3,Private rented or lives rent free,2,One-person household: Other,645893
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,3,Private rented or lives rent free,3,Single family household: All aged 66 years and over,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,3,Private rented or lives rent free,4,Single family household: Married or civil partnership couple: No children,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,3,Private rented or lives rent free,5,Single family household: Married or civil partnership couple: Dependent children,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,3,Private rented or lives rent free,6,Single family household: Married or civil partnership couple: All children non-dependent,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,3,Private rented or lives rent free,7,Single family household: Cohabiting couple family: No children,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,3,Private rented or lives rent free,8,Single family household: Cohabiting couple family: With dependent children,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,3,Private rented or lives rent free,9,Single family household: Cohabiting couple family: All children non-dependent,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,3,Private rented or lives rent free,10,Single family household: Lone parent family: With dependent children,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,3,Private rented or lives rent free,11,Single family household: Lone parent family: All children non-dependent,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,3,Private rented or lives rent free,12,Other household types: Other related household: Other family composition,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,3,Private rented or lives rent free,13,Other household types: With dependent children,0
K04000001,England and Wales,1,1 person in household,0,No cars or vans in household,3,Private rented or lives rent free,14,"Other household types: Other, including all full-time students and all aged 66 years and over",0
K04000001,England and Wales,1,1 person in household,1,1 car or van in household,-8,Does not apply,-8,Does not apply,0
K04000001,England and Wales,1,1 person in household,1,1 car or van in household,-8,Does not apply,1,One-person household: Aged 66 years and over,0
K04000001,England and Wales,1,1 person in household,1,1 car or van in household,-8,Does not apply,2,One-person household: Other,0
K04000001,England and Wales,1,1 person in household,1,1 car or van in household,-8,Does not apply,3,Single family household: All aged 66 years and over,0
K04000001,England and Wales,1,1 person in household,1,1 car or van in household,-8,Does not apply,4,Single family household: Married or civil partnership couple: No children,0
K04000001,England and Wales,1,1 person in household,1,1 car or van in household,-8,Does not apply,5,Single family household: Married or civil partnership couple: Dependent children,0
K04000001,England and Wales,1,1 person in household,1,1 car or van in household,-8,Does not apply,6,Single family household: Married or civil partnership couple: All children non-dependent,0
K04000001,England and Wales,1,1 person in household,1,1 car or van in household,-8,Does not apply,7,Single family household: Cohabiting couple family: No children,0
K04000001,England and Wales,1,1 person in household,1,1 car or van in household,-8,Does not apply,8,Single family household: Cohabiting couple family: With dependent children,0
K04000001,England and Wales,1,1 person in household,1,1 car or van in household,-8,Does not apply,9,Single family household: Cohabiting couple family: All children non-dependent,0
K04000001,England and Wales,1,1 person in household,1,1 car or van in household,-8,Does not apply,10,Single family household: Lone parent family: With dependent children,0
K04000001,England and Wales,1,1 person in household,1,1 car or van in household,-8,Does not apply,11,Single family household: Lone parent family: All children non-dependent,0
K04000001,England and Wales,1,1 person in household,1,1 car or van in household,-8,Does not apply,12,Other household types: Other related household: Other family composition,0
K04000001,England and Wales,1,1 person in household,1,1 car or van in household,-8,Does not apply,13,Other household types: With dependent children,0
K04000001,England and Wales,1,1 person in household,1,1 car or van in household,-8,Does not apply,14,"Other household types: Other, including all full-time students and all aged 66 years and over",0
K04000001,England and Wales,1,1 person in household,1,1 car or van in household,0,Owned: Owns outright,-8,Does not apply,0
K04000001,England and Wales,1,1 person in household,1,1 car or van in household,0,Owned: Owns outright,1,One-person household: Aged 66 years and over,1135681
K04000001,England and Wales,1,1 person in household,1,1 car or van in household,0,Owned: Owns outright,2,One-person household: Other,544446
K04000001,England and Wales,1,1 person in household,1,1 car or van in household,0,Owned: Owns outright,3,Single family household: All aged 66 years and over,0
K04000001,England and Wales,1,1 person in household,1,1 car or van in household,0,Owned: Owns outright,4,Single family household: Married or civil partnership couple: No children,0
K04000001,England and Wales,1,1 person in household,1,1 car or van in household,0,Owned: Owns outright,5,Single family household: Married or civil partnership couple: Dependent children,0
K04000001,England and Wales,1,1 person in household,1,1 car or van in household,0,Owned: Owns outright,6,Single family household: Married or civil partnership couple: All children non-dependent,0
K04000001,England and Wales,1,1 person in household,1,1 car or van in household,0,Owned: Owns outright,7,Single family household: Cohabiting couple family: No children,0
K04000001,England and Wales,1,1 person in household,1,1 car or van in household,0,Owned: Owns outright,8,Single family household: Cohabiting couple family: With dependent children,0
K04000001,England and Wales,1,1 person in household,1,1 car or van in household,0,Owned: Owns outright,9,Single family household: Cohabiting couple family: All children non-dependent,0
K04000001,England and Wales,1,1 person in household,1,1 car or van in household,0,Owned: Owns outright,10,Single family household: Lone parent family: With dependent children,0
K04000001,England and Wales,1,1 person in household,1,1 car or van in household,0,Owned: Owns outright,11,Single family household: Lone parent family: All children non-dependent,0
K04000001,England and Wales,1,1 person in household,1,1 car or van in household,0,Owned: Owns outright,12,Other household types: Other related household: Other family composition,0
K04000001,England and Wales,1,1 person in household,1,1 car or van in household,0,Owned: Owns outright,13,Other household types: With dependent children,0
K04000001,England and Wales,1,1 person in household,1,1 car or van in household,0,Owned: Owns outright,14,"Other household types: Other, including all full-time students and all aged 66 years and over",0
K04000001,England and Wales,1,1 person in household,1,1 car or van in household,1,Owned: Owns with a mortgage or loan or shared ownership,-8,Does not apply,0
K04000001,England and Wales,1,1 person in household,1,1 car or van in household,1,Owned: Owns with a mortgage or loan or shared ownership,1,One-person household: Aged 66 years and over,82705
K04000001,England and Wales,1,1 person in household,1,1 car or van in household,1,Owned: Owns with a mortgage or loan or shared ownership,2,One-person household: Other,808665
K04000001,England and Wales,1,1 person in household,1,1 car or van in household,1,Owned: Owns with a mortgage or loan or shared ownership,3,Single family household: All aged 66 years and over,0
K04000001,England and Wales,1,1 person in household,1,1 car or van in household,1,Owned: Owns with a mortgage or loan or shared ownership,4,Single family household: Married or civil partnership couple: No children,0
K04000001,England and Wales,1,1 person in household,1,1 car or van in household,1,Owned: Owns with a mortgage or loan or shared ownership,5,Single family household: Married or civil partnership couple: Dependent children,0
K04000001,England and Wales,1,1 person in household,1,1 car or van in household,1,Owned: Owns with a mortgage or loan or shared ownership,6,Single family household: Married or civil partnership couple: All children non-dependent,0
K04000001,England and Wales,1,1 person in household,1,1 car or van in household,1,Owned: Owns with a mortgage or loan or shared ownership,7,Single family household: Cohabiting couple family: No children,0
K04000001,England and Wales,1,1 person in household,1,1 car or van in household,1,Owned: Owns with a mortgage or loan or shared ownership,8,Single family household: Cohabiting couple family: With dependent children,0
